county1,mi_to_county,county2
5023,20.5871745,5137
5023,25.65213761,5141
5023,27.60309255,5145
5023,30.46400309,5063
5023,32.6234562,5045
5025,26.80745402,5079
5025,27.16745775,5039
5025,30.3930548,5069
5025,30.42292931,5053
5025,34.11081466,5043
5027,22.30684698,5073
5027,30.05570457,22027
5027,31.52831733,5099
5027,32.85210371,5103
5027,34.00236522,22119
5027,36.49869859,5139
5029,22.17347958,5045
5029,23.31499887,5115
5029,23.99316256,5141
5029,25.83105917,5105
5029,44.65141359,5149
5031,18.13496458,5111
5031,20.47818767,5055
5031,30.16250779,5075
5031,32.67875292,5093
5031,36.90623281,5067
5031,38.88868637,29069
5033,20.25910029,5047
5033,26.76338092,5131
5033,26.83839333,5143
5033,29.45825558,40135
5033,31.85736336,40001
5033,41.28528182,5087
5035,23.78906847,47157
5035,26.44856276,5037
5035,27.71603592,5123
5035,29.59911388,28033
5035,32.12576521,5111
5035,36.92344307,47167
5035,38.80188706,28143
5035,39.76240001,5077
5035,41.10874901,5093
5037,19.21006015,5123
5037,19.89467942,5111
5037,27.47492734,5147
5037,32.93434464,5067
5039,25.74194541,5053
5039,29.04147266,5103
5039,29.1768913,5059
5041,20.76345474,28011
5041,29.10895593,5079
5041,32.16156169,5043
5041,47.0646214,5107
5043,25.5952763,5079
5045,25.73231229,5119
5045,32.03457234,5141
5045,33.1233033,5145
5045,36.40309808,5085
5045,36.76109166,5105
5047,22.14059918,5083
5047,24.10798723,5071
5047,30.65753728,5131
5047,36.00921468,5087
5049,20.62000224,5065
5049,24.22195736,5135
5049,27.27354563,29091
5049,31.11228145,29149
5049,39.9835093,29153
5051,21.57320086,5059
5051,27.29317232,5125
5051,28.29735155,5105
5051,29.51929573,5097
5051,32.51935912,5149
5053,28.17037183,5069
5053,28.70294277,5125
5053,29.74824444,5059
5053,34.1268512,5119
5055,28.16007472,29069
5055,30.00686675,5121
5055,30.41712388,5075
5057,21.17326781,5099
5057,29.68392596,5109
5057,30.78764814,5061
5057,32.2328863,5091
5057,32.47510247,5081
5057,33.8583644,5073
5059,27.68382422,5125
5059,44.01369655,5097
5061,15.68822558,5133
5061,19.7029418,5109
5061,29.83843328,5081
5061,31.32411829,5113
5061,36.99927825,5097
5063,21.26283878,5067
5063,30.52517305,5135
5063,31.64497955,5065
5063,33.15931526,5075
5063,33.56582748,5137
5063,35.082749,5145
5065,20.76245581,5137
5065,25.28458073,5135
5067,28.18330166,5147
5067,30.54840423,5111
5067,31.46321691,5075
5067,38.05712085,5145
5069,24.97755101,5079
5069,33.05204258,5085
5069,40.72051537,5119
5071,25.77710444,5115
5071,27.19788593,5101
5071,28.39065071,5083
5071,33.60721958,5087
5073,17.33361593,5091
5073,34.33412299,5099
5073,37.62016375,22015
5073,38.50447965,22119
5075,21.13439888,5121
5075,22.58210649,5135
5077,16.35104245,5123
5077,24.76552697,28143
5077,24.76640004,5107
5077,25.05423592,5095
5081,20.40496597,5133
5081,20.72637128,48037
5081,33.14722054,5091
5081,42.16863012,40089
5083,23.33093226,5149
5083,31.33491495,5131
5083,31.53216647,5127
5083,42.14045808,5115
5085,19.77420889,5117
5085,24.01000883,5119
5085,35.42959297,5145
5087,27.78378213,5143
5087,29.33160019,5101
5089,24.69330939,5129
5089,29.14968681,29153
5089,33.32539265,29213
5091,30.49916486,48067
5091,31.5830547,48037
5091,45.19100935,22015
5091,50.3335064,22017
5093,23.79936702,47097
5093,24.53361028,47167
5093,26.68160367,29069
5093,34.03447059,29155
5093,37.83167998,5111
5093,41.24642702,47157
5093,41.62878287,47045
5095,22.564424,5117
5095,26.74185836,5107
5095,34.91652291,5123
5095,35.2839758,5147
5097,26.77280557,5109
5097,31.35746099,5127
5097,32.48471797,5113
5097,34.44462374,5149
5099,25.0941641,5103
5099,39.55066803,5109
5101,28.86120368,5129
5101,33.06673151,5115
5103,33.39803046,5139
5105,25.07152874,5125
5105,27.48694292,5149
5105,36.5963185,5119
5107,19.52878102,28027
5107,31.31218729,28143
5107,43.34061045,28011
5109,39.93279769,5113
5113,27.14122256,5127
5113,34.29879261,5133
5113,38.96550837,40079
5113,40.00353207,40089
5115,30.3052234,5141
5115,36.51162881,5129
5115,38.10204103,5149
5117,30.57657823,5147
5117,31.48412541,5145
5119,22.10131727,5125
5121,23.06630124,29181
5121,27.25315159,5135
5121,31.55810243,29149
5123,30.84683508,5147
5127,26.24375802,5131
5127,36.37669818,40079
5127,38.34265549,5149
5129,24.80470017,5141
5129,31.49584466,5137
5131,31.77320547,40079
5131,34.1216263,40135
5133,31.0997497,40089
5135,35.54164242,29149
5137,28.32183431,5141
5139,26.72876221,22111
5139,32.74902171,22027
5139,52.11521729,22067
5143,24.76726872,40001
5145,29.07139401,5147
6001,18.86768486,6013
6001,29.84130534,6081
6001,31.95171434,6085
6001,40.22768467,6077
6001,50.19735819,6099
6001,61.4235021,6075
6003,22.34743246,32005
6003,41.31610386,6017
6003,42.1586643,6109
6003,47.74435233,6005
6003,50.5750564,6009
6003,69.73196102,6051
6005,18.46069174,6009
6005,24.49296651,6017
6005,37.15569849,6067
6005,48.60208305,6077
6007,30.61392107,6115
6007,42.78193067,6021
6007,43.90905538,6101
6007,46.12520486,6103
6007,46.87230316,6063
6007,47.84251287,6011
6009,34.09615,6109
6009,42.7437058,6077
6009,49.63156469,6099
6011,27.88386802,6033
6011,30.31626056,6101
6011,30.63202392,6021
6011,38.84852734,6113
6013,24.03574554,6095
6013,37.03786823,6077
6013,44.2178268,6041
6013,49.448094,6067
6013,60.45751455,6075
6013,68.57947694,6097
6015,48.1172907,41033
6015,50.91261561,41015
6015,72.13724833,6023
6015,75.55209895,6093
6017,21.62051648,6061
6017,49.30353475,6067
6017,50.47793821,32005
6019,31.46354728,6039
6019,48.40252105,6031
6019,60.85208254,6107
6019,66.12067184,6047
6019,79.92486679,6069
6019,90.56337168,6051
6019,99.00018869,6053
6019,125.5195229,6027
6021,37.27700824,6103
6021,39.63107731,6033
6021,56.72701601,6045
6023,42.71252291,6105
6023,91.672306,6045
6023,94.63990615,6093
6025,60.48902207,6065
6025,82.3038631,6073
6027,79.91342754,6107
6027,85.02123491,32009
6027,110.0677215,32023
6027,112.0154207,6029
6027,123.6873782,6051
6027,135.0907795,32003
6027,136.3036212,6071
6029,61.1332973,6107
6029,71.99081785,6111
6029,78.91346414,6031
6029,83.78774055,6037
6029,92.85734581,6083
6029,96.83586894,6079
6029,147.9600372,6071
6031,58.76436101,6107
6031,59.25674712,6079
6031,84.47923128,6053
6033,40.28840026,6097
6033,43.94072867,6045
6033,46.48399973,6055
6033,53.68965308,6113
6035,48.17799915,32031
6035,51.24505093,6063
6035,60.41302856,6049
6035,74.05212799,6089
6035,79.25931805,6091
6037,45.45589789,6059
6037,50.99295792,6111
6037,126.9308774,6071
6039,26.4339317,6043
6039,53.55459412,6047
6039,57.28307725,6109
6039,68.35920378,6051
6041,27.32346135,6075
6041,34.9297697,6097
6041,46.26766736,6095
6043,31.31813235,6109
6043,51.47266814,6047
6043,59.68661053,6099
6045,67.67352399,6097
6045,80.18560732,6103
6045,85.75028829,6105
6047,29.68339607,6099
6047,45.05394519,6069
6047,53.28839415,6085
6049,80.79947762,32031
6049,84.29494898,41037
6049,89.10655825,41035
6049,89.75998324,6089
6049,93.78560251,6093
6051,48.41260613,32021
6051,59.79343778,6109
6051,68.46130606,32009
6051,78.40561963,32019
6051,79.06089783,32005
6053,28.62768239,6069
6053,65.71701524,6087
