county1,mi_to_county,county2,county_combined
05121,23.0663012420143,29181,0512129181
05121,27.2531515851169,05135,0512105135
05121,31.5581024250437,29149,0512129149
05123,30.8468350832553,05147,0512305147
05127,26.243758021092,05131,0512705131
05127,36.3766981752034,40079,0512740079
05127,38.3426554945169,05149,0512705149
05129,24.8047001749771,05141,0512905141
05129,31.4958446567908,05137,0512905137
05131,31.7732054715971,40079,0513140079
05131,34.1216262983854,40135,0513140135
05133,31.0997497010905,40089,0513340089
05135,35.5416424211533,29149,0513529149
05137,28.3218343072421,05141,0513705141
05139,26.7287622142285,22111,0513922111
05139,32.7490217067379,22027,0513922027
05139,52.1152172896866,22067,0513922067
05143,24.7672687208233,40001,0514340001
05145,29.0713940115679,05147,0514505147
06001,18.8676848579526,06013,0600106013
06001,29.8413053426588,06081,0600106081
06001,31.9517143442369,06085,0600106085
06001,40.2276846702785,06077,0600106077
06001,50.197358191655,06099,0600106099
06001,61.4235020990183,06075,0600106075
06003,22.3474324592237,32005,0600332005
06003,41.3161038634639,06017,0600306017
06003,42.158664297795,06109,0600306109
06003,47.7443523315193,06005,0600306005
06003,50.5750564030719,06009,0600306009
06003,69.7319610220968,06051,0600306051
06005,18.4606917372251,06009,0600506009
06005,24.492966507289,06017,0600506017
06005,37.1556984922311,06067,0600506067
06005,48.6020830471061,06077,0600506077
06007,30.6139210739766,06115,0600706115
06007,42.7819306668176,06021,0600706021
06007,43.9090553845036,06101,0600706101
06007,46.1252048558867,06103,0600706103
06007,46.8723031579044,06063,0600706063
06007,47.8425128659097,06011,0600706011
06009,34.0961500004618,06109,0600906109
06009,42.7437057951666,06077,0600906077
06009,49.6315646921501,06099,0600906099
06011,27.8838680243909,06033,0601106033
06011,30.3162605552737,06101,0601106101
06011,30.6320239164351,06021,0601106021
06011,38.8485273361532,06113,0601106113
06013,24.0357455414016,06095,0601306095
06013,37.0378682253406,06077,0601306077
06013,44.2178268013573,06041,0601306041
06013,49.4480940020038,06067,0601306067
06013,60.4575145529364,06075,0601306075
06013,68.5794769374114,06097,0601306097
06015,48.1172906995424,41033,0601541033
06015,50.9126156062467,41015,0601541015
06015,72.1372483258039,06023,0601506023
06015,75.5520989473753,06093,0601506093
06017,21.6205164823585,06061,0601706061
06017,49.303534748512,06067,0601706067
06017,50.47793820697,32005,0601732005
06019,31.4635472762012,06039,0601906039
06019,48.4025210529227,06031,0601906031
06019,60.8520825356904,06107,0601906107
06019,66.1206718385432,06047,0601906047
06019,79.9248667918306,06069,0601906069
06019,90.563371681542,06051,0601906051
06019,99.0001886885245,06053,0601906053
06019,125.519522941953,06027,0601906027
06021,37.2770082385001,06103,0602106103
06021,39.6310773123419,06033,0602106033
06021,56.7270160060323,06045,0602106045
06023,42.7125229120129,06105,0602306105
06023,91.6723060049924,06045,0602306045
06023,94.6399061522743,06093,0602306093
06025,60.4890220726961,06065,0602506065
06025,82.303863104528,06073,0602506073
06027,79.9134275355735,06107,0602706107
06027,85.0212349083658,32009,0602732009
06027,110.067721527629,32023,0602732023
06027,112.01542065903,06029,0602706029
06027,123.687378208691,06051,0602706051
06027,135.090779490777,32003,0602732003
06027,136.303621173376,06071,0602706071
06029,61.1332973027748,06107,0602906107
06029,71.9908178466469,06111,0602906111
06029,78.9134641428192,06031,0602906031
06029,83.7877405538606,06037,0602906037
06029,92.8573458062691,06083,0602906083
06029,96.8358689353213,06079,0602906079
06029,147.960037227623,06071,0602906071
06031,58.7643610098775,06107,0603106107
06031,59.2567471222262,06079,0603106079
06031,84.4792312799489,06053,0603106053
06033,40.2884002572006,06097,0603306097
06033,43.940728668573,06045,0603306045
06033,46.4839997304678,06055,0603306055
06033,53.6896530809093,06113,0603306113
06035,48.1779991543911,32031,0603532031
06035,51.2450509259179,06063,0603506063
06035,60.4130285620681,06049,0603506049
06035,74.0521279924756,06089,0603506089
06035,79.2593180536742,06091,0603506091
06037,45.4558978947586,06059,0603706059
06037,50.9929579243208,06111,0603706111
06037,126.930877427235,06071,0603706071
06039,26.4339316968993,06043,0603906043
06039,53.5545941203379,06047,0603906047
06039,57.2830772507368,06109,0603906109
06039,68.3592037799934,06051,0603906051
06041,27.3234613461581,06075,0604106075
06041,34.9297697014354,06097,0604106097
06041,46.2676673594119,06095,0604106095
06043,31.3181323490278,06109,0604306109
06043,51.4726681426105,06047,0604306047
06043,59.6866105271177,06099,0604306099
06045,67.6735239895472,06097,0604506097
06045,80.1856073181672,06103,0604506103
06045,85.7502882938473,06105,0604506105
06047,29.6833960691357,06099,0604706099
06047,45.0539451877661,06069,0604706069
06047,53.2883941522305,06085,0604706085
06049,80.7994776208696,32031,0604932031
06049,84.2949489774983,41037,0604941037
06049,89.1065582500381,41035,0604941035
06049,89.7599832387912,06089,0604906089
06049,93.7856025114745,06093,0604906093
06051,48.412606129828,32021,0605132021
06051,59.793437775292,06109,0605106109
06051,68.4613060645792,32009,0605132009
06051,78.4056196297075,32019,0605132019
06051,79.0608978318969,32005,0605132005
06053,28.6276823892612,06069,0605306069
06053,65.7170152371945,06087,0605306087
06053,76.5126607397365,06079,0605306079
06055,25.7381816255351,06113,0605506113
06055,26.7054235409666,06095,0605506095
06055,33.5179707417317,06097,0605506097
06057,16.3371865200758,06061,0605706061
06057,23.6426335664532,06091,0605706091
06057,30.5779282095669,06115,0605706115
06057,112.390042641019,32031,0605732031
